datum name,region of use,datum code,ellipsoid code,dx,dy,dz,ex,ey,ez,sat,epsg
Kusaie Astro 1951,Caroline Islands,,IN,647,1777,-1124,25,25,25,1,
Midway Astro 1961,Midway Islands,,IN,912,-58,1227,25,25,25,1,
Naparima BWI,Trinidad & Tobago,,IN,-10,375,165,15,15,15,4,
Observatorio Meteorologico 1939,Azores (Corvo & Flores Islands),,IN,-425,-169,81,20,20,20,3,
Pico de las Nieves,Canary Islands,,IN,-307,-92,127,25,25,25,1,
Pitcairn Astro 1967,Pitcairn Island,,IN,185,165,42,25,25,25,1,
Porto Santo 1936,Porto Santo; Madeira Islands,,IN,-499,-249,314,25,25,25,2,
Provisional South American 1956,Bolivia,,IN,-270,188,-388,5,11,14,5,
Provisional South American 1956,Chile (Northern; Near 19øS),,IN,-270,183,-390,25,25,25,1,
Provisional South American 1956,Chile (Southern; Near 43øS),,IN,-305,243,-442,20,20,20,3,
Provisional South American 1956,Colombia,,IN,-282,169,-371,15,15,15,4,
Provisional South American 1956,Ecuador,,IN,-278,171,-367,3,5,3,11,
Provisional South American 1956,Guyana,,IN,-298,159,-369,6,14,5,9,
Provisional South American 1956,MEAN FOR Bolivia; Chile; Colombia; Ecuador; Guyana; Peru; Venezuela,,IN,-288,175,-376,17,27,27,63,
Provisional South American 1956,Peru,,IN,-279,175,-379,6,8,12,6,
Provisional South American 1956,Venezuela,,IN,-295,173,-371,9,14,15,24,
Provisional South Chilean 1963,Chile (Near 53øS) (Hito XVIII),,IN,16,196,93,25,25,25,2,
Qatar National,Qatar,,IN,-128,-283,22,20,20,20,3,
Qornoq,Greenland (South),,IN,164,138,-189,25,25,32,2,
Reunion,Mascarene Islands,,IN,94,-948,-1262,25,25,25,1,
Rome 1940,Italy (Sardinia),,IN,-225,-65,9,25,25,25,1,
Santo (DOS) 1965,Espirito Santo Island,,IN,170,42,84,25,25,25,1,
Sao Braz,Azores (Sao Miguel; Santa Maria Ids),,IN,-203,141,53,25,25,25,2,
Sapper Hill 1943,East Falkland Island,,IN,-355,21,72,1,1,1,5,
Selvagem Grande 1938,Salvage Islands,,IN,-289,-124,60,25,25,25,1,
Tananarive Observatory 1925,Madagascar,,IN,-189,-242,-91,-1,-1,-1,0,
Tristan Astro 1968,Tristan da Cunha,,IN,-632,438,-609,25,25,25,1,
Wake Island Astro 1952,Wake Atoll,,IN,276,-57,149,25,25,25,2,
Yacare,Uruguay,,IN,-155,171,37,-1,-1,-1,0,
Zanderij,Suriname,,IN,-265,120,-358,5,5,8,5,
Afgooye,Somalia,,KA,-43,-163,45,25,25,25,1,
Pulkovo 1942,Russia,,KA,28,-130,-95,-1,-1,-1,0,
S-42 (Pulkovo 1942),Hungary,,KA,28,-121,-77,2,2,2,5,
S-42 (Pulkovo 1942),Poland,,KA,23,-124,-82,4,2,4,11,
